Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
182,Max Strus,SF,27,CLE,12,12,434,42,103,0.408,25,72,0.347,17,31,0.548,0.529,5,5,1,8,56,64,35,9,0,15,41,114
183,Jalen Suggs,SG,22,ORL,7,7,232,33,82,0.402,14,48,0.292,19,34,0.559,0.488,23,30,0.767,11,25,36,23,9,3,20,18,103
184,Jayson Tatum,PF,25,BOS,19,19,768,159,372,0.427,39,138,0.283,120,234,0.513,0.48,118,137,0.861,17,167,184,119,20,13,50,54,475
185,Daniel Theis,C,31,LAC,1,0,4,1,1,1,1,1,1,0,0,,1.5,0,0,,0,1,1,0,0,0,0,0,3
186,Isaiah Thomas,PG,34,PHO,1,0,4,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0
187,Tristan Thompson,C,32,CLE,10,0,87,7,16,0.438,0,0,,7,16,0.438,0.438,1,2,0.5,10,10,20,10,1,5,2,9,15
188,Xavier Tillman Sr.,PF,25,BOS,8,0,69,5,8,0.625,1,1,1,4,7,0.571,0.688,1,1,1,4,10,14,3,3,3,3,7,12
189,Obi Toppin,PF,25,IND,17,0,343,73,135,0.541,20,56,0.357,53,79,0.671,0.615,19,25,0.76,10,65,75,29,6,6,14,21,185
190,Karl-Anthony Towns,PF,28,MIN,16,16,522,108,232,0.466,30,83,0.361,78,149,0.523,0.53,59,69,0.855,35,109,144,42,12,3,27,55,305
191,P.J. Tucker,PF,38,LAC,2,1,31,4,6,0.667,3,4,0.75,1,2,0.5,0.917,0,0,,3,0,3,0,0,0,3,6,11
192,Myles Turner,C,27,IND,17,17,550,106,205,0.517,39,86,0.453,67,119,0.563,0.612,38,50,0.76,26,87,113,36,8,25,33,44,289
193,Hunter Tyson,PF,23,DEN,3,0,14,0,4,0,0,3,0,0,1,0,0,1,2,0.5,1,2,3,1,0,0,1,0,1
194,Jonas Valančiūnas,C,31,NOP,4,4,90,22,42,0.524,0,1,0,22,41,0.537,0.524,14,17,0.824,18,26,44,5,2,0,10,9,58
195,Gabe Vincent,PG,27,LAL,5,0,69,3,12,0.25,1,7,0.143,2,5,0.4,0.292,0,0,,1,7,8,3,2,0,3,8,7
196,Dean Wade,PF,27,CLE,3,1,63,4,13,0.308,3,10,0.3,1,3,0.333,0.423,0,0,,1,5,6,5,1,2,2,4,11
197,Franz Wagner,SF,22,ORL,7,7,259,42,103,0.408,9,34,0.265,33,69,0.478,0.451,39,44,0.886,10,38,48,31,5,9,9,20,132
198,Moritz Wagner,C,26,ORL,7,0,105,16,36,0.444,2,9,0.222,14,27,0.519,0.472,10,17,0.588,11,20,31,2,6,3,8,21,44
